file_name,job_id,is_downloaded
news_data_batch_part176.jsonl,batch_673cf6b22d5c8190b17a7f4c29b1f989,1
news_data_batch_part177.jsonl,batch_673cf6b9ad488190a86852b181959f6f,1
news_data_batch_part178.jsonl,batch_673cf6c0c4388190b046afbc2fdb6698,1
news_data_batch_part179.jsonl,batch_673cf6c949388190bc38a2f795ad49a8,1
news_data_batch_part180.jsonl,batch_673cf6d26a9881908b0d55ba914c49d0,1
news_data_batch_part181.jsonl,batch_673cf6db3edc8190b69735121d26c3df,1
news_data_batch_part182.jsonl,batch_673cf6e359bc8190843358826499c946,1
news_data_batch_part183.jsonl,batch_673cf6eb2fc08190b99c7ae933c4ed01,1
news_data_batch_part184.jsonl,batch_673cf6f30610819092ce419fecf3cd28,1
news_data_batch_part185.jsonl,batch_673cf6fa98e4819094ca6705f6155bcc,1
news_data_batch_part186.jsonl,batch_673cf701a784819084ec35d7c812702e,1
news_data_batch_part187.jsonl,batch_673cf70948d0819092958589b599274d,1
news_data_batch_part188.jsonl,batch_673cf7113c7481908ec83cfce7a58026,1
news_data_batch_part189.jsonl,batch_673cf71a23848190947d25a675e1f2fb,1
news_data_batch_part190.jsonl,batch_673cf722210481908e59bd59e5eff6c3,1
news_data_batch_part191.jsonl,batch_673cf729869c8190975951bf1ced0801,1
news_data_batch_part192.jsonl,batch_673cf73159708190a38638f55122bfb3,1
news_data_batch_part193.jsonl,batch_673cf73914ec8190b27678caa99ae859,1
news_data_batch_part194.jsonl,batch_673cf7409acc8190bbd49603c3a179d7,1
news_data_batch_part195.jsonl,batch_673cf747f2848190ababd5519e8f8b85,1
news_data_batch_part196.jsonl,batch_673cf74fa3bc81909ec7bd140327247a,1
news_data_batch_part197.jsonl,batch_673cf756f1b48190887d807907495019,1
news_data_batch_part198.jsonl,batch_673d2049ca8881909b0926ecac42f08f,1
news_data_batch_part199.jsonl,batch_673d20524d5c8190a4c3b5d0be8f3304,1
news_data_batch_part200.jsonl,batch_673d205aeff0819084bd4ed6741d2dc9,1
news_data_batch_part201.jsonl,batch_673d206440b4819096b0365f3d3f089e,1
news_data_batch_part202.jsonl,batch_673d206c21ac819088b2cd73a961bc49,1
news_data_batch_part203.jsonl,batch_673d20740c7481908a0dbcdbeff800d8,1
news_data_batch_part204.jsonl,batch_673d207b61448190addfc16d888a91d8,1
news_data_batch_part205.jsonl,batch_673d20830b0c8190beeb1d99317764c9,1
news_data_batch_part206.jsonl,batch_673d208a97748190bc7506b20b2365c3,1
news_data_batch_part207.jsonl,batch_673d2092d9ac819087f8a70a6fac5084,1
news_data_batch_part208.jsonl,batch_673d209b4d6c8190be5e1102d5959308,1
news_data_batch_part209.jsonl,batch_673d20a409548190a4d3d28ae939c0d6,1
news_data_batch_part210.jsonl,batch_673d20acb98c8190bf8be459783d067f,1
news_data_batch_part211.jsonl,batch_673d20b52c208190a7839f87cef1591a,1
news_data_batch_part212.jsonl,batch_673d20be328881908e3fd18a9f9f6b08,1
news_data_batch_part213.jsonl,batch_673d20c7558c8190ac996acbc0415c6b,1
news_data_batch_part214.jsonl,batch_673d20d1276c8190b05034dcd263f150,1
news_data_batch_part215.jsonl,batch_673d20db6ad081908a7d5601357a55d6,1
news_data_batch_part216.jsonl,batch_673d20e4d7a08190894bdbdc573b6ebf,1
news_data_batch_part217.jsonl,batch_673d20edef3c8190a98abadcf2c59211,1
news_data_batch_part218.jsonl,batch_673d20f6afec8190b5b2ebe4ee2f04ee,1
news_data_batch_part219.jsonl,batch_673d21001c988190aee6844abe792524,1
news_data_batch_part220.jsonl,batch_673d210fcf508190aa9833964f8ecfaf,1
news_data_batch_part221.jsonl,batch_673d212263608190af81f4bea8da2c8a,1
news_data_batch_part222.jsonl,batch_673d213539688190a684c8abdb4a17c5,1
news_data_batch_part223.jsonl,batch_673d21429a448190ada699234245d744,1
news_data_batch_part224.jsonl,batch_673d214a730081909135a9f8363966a9,1
news_data_batch_part225.jsonl,batch_673d215ad0108190a5e77e25a8d30360,1
news_data_batch_part226.jsonl,batch_673d217131c4819081b1425288ff8e9f,1
news_data_batch_part227.jsonl,batch_673d217b0a9881908ace8fc2f7794c2c,1
news_data_batch_part228.jsonl,batch_673d2183b7a08190a76b2e128ac9d86c,1
news_data_batch_part229.jsonl,batch_673d218bd68881908312029e92239804,1
news_data_batch_part230.jsonl,batch_673d2193d92c8190a19755deb1abbc82,1
news_data_batch_part231.jsonl,batch_673d219c04c48190aa45a254819ffdc0,1
news_data_batch_part232.jsonl,batch_673d21a332a8819090179254251bb882,1
news_data_batch_part233.jsonl,batch_673d21ac81cc8190b68f31cd4bb10570,1
news_data_batch_part234.jsonl,batch_673d21b4d0008190b89689dd2a69f554,1
news_data_batch_part235.jsonl,batch_673d21bcfbcc8190955d8ae7c186d4d5,1
news_data_batch_part236.jsonl,batch_673d21c4bfc88190959404406e029565,1
news_data_batch_part237.jsonl,batch_673d21ccab408190a3c409305b03e03b,1
news_data_batch_part238.jsonl,batch_673d21d4f5b08190a030b708b95e34ad,1
news_data_batch_part239.jsonl,batch_673d21dd6ae08190863cb7c60d6d7f6b,1
news_data_batch_part240.jsonl,batch_673d21e5ce9481908967006f0456261e,1
news_data_batch_part241.jsonl,batch_673d21ee504c8190871d56c4dac0cff4,1
news_data_batch_part242.jsonl,batch_673d21fba9b08190b6fcb663eb2c683b,1
news_data_batch_part243.jsonl,batch_673d220c18648190a10ed72a1c36a6bd,1
news_data_batch_part244.jsonl,batch_673d221579388190b7273ce2fd2051ad,1
news_data_batch_part245.jsonl,batch_673d221da8b08190b92e00faa0b3f0ea,1
news_data_batch_part246.jsonl,batch_673d222668988190be2afa232bc20fd4,1
news_data_batch_part247.jsonl,batch_673d222f0d5081908ba66aef63415e7a,1
news_data_batch_part248.jsonl,batch_673d22389c7c81909e07a1818a594459,1
news_data_batch_part249.jsonl,batch_673d2242cb648190b47f9a8ce1dff5c7,1
news_data_batch_part250.jsonl,batch_673d224b4e448190bfb9c4c2ef488c8a,1
news_data_batch_part251.jsonl,batch_673d2253bd8c81908558ffe8fd4fa639,1
news_data_batch_part252.jsonl,batch_673d225c1a3881909bc29da6f25ecb77,1
news_data_batch_part253.jsonl,batch_673d226590dc8190b59759abbb75e2ab,1
news_data_batch_part254.jsonl,batch_673d226eb1bc81908a1de06c3298756c,1
news_data_batch_part255.jsonl,batch_673d2277a98481909a84d862e991d642,1
news_data_batch_part256.jsonl,batch_673d22801e7c8190927cf62bd729ea19,1
news_data_batch_part257.jsonl,batch_673d228837ac8190bcd4613bb93a34f4,1
news_data_batch_part258.jsonl,batch_673d2291776c819084b831860cc1ab55,1
news_data_batch_part259.jsonl,batch_673d2299dd9c8190b2b9b3b5c53563c6,1
news_data_batch_part260.jsonl,batch_673d22a2450c8190a1cf74049c664f61,1
news_data_batch_part261.jsonl,batch_673d22ab750881909e98c1be6596a7c3,1
news_data_batch_part262.jsonl,batch_673d22b5d2f481908a483e1f27435f79,1
news_data_batch_part263.jsonl,batch_673d22c097208190a7abddb0b35b8994,1
news_data_batch_part264.jsonl,batch_673d22cb47fc8190914aa8eda9f1c754,1
news_data_batch_part265.jsonl,batch_673d22d4d7e8819094af430dddbb9820,1
news_data_batch_part266.jsonl,batch_673d22dfa1c88190b4b0a83d45358447,1
news_data_batch_part267.jsonl,batch_673d22e8d1ec8190b7e9525c08ee7321,1
news_data_batch_part268.jsonl,batch_673d22f190648190b59871bcf005340d,1
news_data_batch_part269.jsonl,batch_673d22fa97148190ad79e8a49b175fd7,1
news_data_batch_part270.jsonl,batch_673d2304c70081909da1f09bf5eff0dd,1
news_data_batch_part271.jsonl,batch_673d230ff4d8819097b86bf19b038cae,1
news_data_batch_part272.jsonl,batch_673d231a2b108190aa0ba37d04845aaa,1
news_data_batch_part273.jsonl,batch_673d2323a65481908c27afc50226ffd3,1
news_data_batch_part274.jsonl,batch_673d232e758c81908f5706dce367cc68,1
news_data_batch_part275.jsonl,batch_673d233830748190910626efffe0f7dc,1
news_data_batch_part276.jsonl,batch_673d23414b6081908a42158d14cf2ad8,1
news_data_batch_part277.jsonl,batch_673d234a029c8190b49e7ff0b20137a8,1
news_data_batch_part278.jsonl,batch_673d235361548190aed8da492311ce47,1
news_data_batch_part279.jsonl,batch_673d2356944c8190b53789f05ac134af,1
